"No.","Time","Source","Destination","Protocol","Length","Info"
"7751","445.548920","192.168.1.169","91.189.91.82","HTTP","1514","GET /ubuntu/dists/oracular-updates/main/dep11/by-hash/SHA256/33127e17bd125c87ecaede6b0dcc5c765a7ad6b29775ef6b3727db3e25d5cea1 HTTP/1.1 GET /ubuntu/dists/oracular-updates/main/cnf/by-hash/SHA256/021df52d59458cbdfffb42f23b3428f37d8172a2793cdd65af96181cd828f9d3 HTTP/1.1 GET /ubuntu/dists/oracular-updates/restricted/dep11/by-hash/SHA256/eab820265fb94f9e876da684a5ec7ddd392eccee2a480f2d50ae0592dc794c81 HTTP/1.1 GET /ubuntu/dists/oracular-updates/universe/binary-amd64/by-hash/SHA256/c38bea3fb020e6c446262d46bef92ec058d7ce25a4eb25db7a73b9e87b39fd27 HTTP/1.1 GET /ubuntu/dists/oracular-updates/universe/i18n/by-hash/SHA256/8284d404d723eff762295d5a5403135f599ae7fdda2329268918b74095f3b1e4 HTTP/1.1 "
"7752","445.548958","192.168.1.169","91.189.91.82","HTTP","1318","GET /ubuntu/dists/oracular-updates/universe/dep11/by-hash/SHA256/7593c0fb85265d41ec536e6d7658446ab2b24d7735e7247489eec7e8bbcc22f3 HTTP/1.1 GET /ubuntu/dists/oracular-updates/universe/cnf/by-hash/SHA256/8cf7229366bf4ef4de5ebf71d01cdf105e8aa5ca25b3ad322723395fc3ffba93 HTTP/1.1 GET /ubuntu/dists/oracular-updates/multiverse/dep11/by-hash/SHA256/28237b894e9682f918dee0da81a6cd3e3759de6867554efa9a158831463e0cea HTTP/1.1 GET /ubuntu/dists/oracular-backports/main/dep11/by-hash/SHA256/c4140cf865bdfe799028c4cfedcdba5c1575c3e8b4dbf2656e91a42971d2b129 HTTP/1.1 GET /ubuntu/dists/oracular-backports/restricted/dep11/by-hash/SHA256/13d7bc5cd51440da0859853ad5e25740a529cbba8c3c88a702959fdde5917f34 HTTP/1.1 "
"7785","445.609319","91.189.91.82","192.168.1.169","HTTP","1514","HTTP/1.1 200 OK "
"7797","445.613552","91.189.91.82","192.168.1.169","HTTP","1514","HTTP/1.1 200 OK HTTP/1.1 200 OK HTTP/1.1 200 OK "
"7983","445.660532","192.168.1.169","91.189.91.82","HTTP","490","GET /ubuntu/dists/oracular-backports/universe/dep11/by-hash/SHA256/361aedb2b248d076a2f348b32570f08d642b9c386d9f7b79819a5baf1647785f HTTP/1.1 GET /ubuntu/dists/oracular-backports/multiverse/dep11/by-hash/SHA256/3f245fc5a1b7b5ba9345b1f82307cd0c61d19db93454430b68e42624ef1e7357 HTTP/1.1 "
"8001","445.668394","91.189.91.82","192.168.1.169","HTTP","1514","HTTP/1.1 200 OK "
"8068","445.684384","91.189.91.82","192.168.1.169","HTTP","1514","HTTP/1.1 200 OK "
"8131","445.731192","91.189.91.82","192.168.1.169","HTTP","1514","HTTP/1.1 200 OK "
"8135","445.731195","91.189.91.82","192.168.1.169","HTTP","1514","HTTP/1.1 200 OK "
"8136","445.731196","91.189.91.82","192.168.1.169","HTTP","1313","HTTP/1.1 200 OK HTTP/1.1 200 OK HTTP/1.1 200 OK "
"8143","445.731200","91.189.91.82","192.168.1.169","HTTP","1310","HTTP/1.1 200 OK "
"8150","445.732718","192.168.1.169","91.189.91.82","HTTP","188","GET /ubuntu/dists/oracular-backports/multiverse/dep11/by-hash/SHA256/3f245fc5a1b7b5ba9345b1f82307cd0c61d19db93454430b68e42624ef1e7357 HTTP/1.1 "
"8152","445.848337","91.189.91.82","192.168.1.169","HTTP","515","HTTP/1.1 200 OK "
"8480","476.524155","192.168.1.169","91.189.91.83","HTTP","229","GET /ubuntu/pool/main/l/lapack/libblas3_3.12.0-3build2_amd64.deb HTTP/1.1 "
"8712","476.900178","91.189.91.83","192.168.1.169","HTTP","972","HTTP/1.1 200 OK  (application/vnd.debian.binary-package)"
"8715","476.905514","192.168.1.169","91.189.91.83","HTTP","785","GET /ubuntu/pool/universe/libl/liblinear/liblinear4_2.3.0%2bdfsg-5build1_amd64.deb HTTP/1.1 GET /ubuntu/pool/main/l/lua5.4/liblua5.4-0_5.4.6-3build2_amd64.deb HTTP/1.1 GET /ubuntu/pool/universe/n/nmap/nmap-common_7.94%2bgit20230807.3be01efb1%2bdfsg-4_all.deb HTTP/1.1 GET /ubuntu/pool/universe/n/nmap/nmap_7.94%2bgit20230807.3be01efb1%2bdfsg-4_amd64.deb HTTP/1.1 "
"8754","476.969212","91.189.91.83","192.168.1.169","HTTP","1514","HTTP/1.1 200 OK  (application/vnd.debian.binary-package)"
"8897","477.014906","91.189.91.83","192.168.1.169","HTTP","1514","HTTP/1.1 200 OK  (application/vnd.debian.binary-package)"
"12008","477.531224","91.189.91.83","192.168.1.169","HTTP","1514","HTTP/1.1 200 OK  (application/vnd.debian.binary-package)"
"13230","477.752295","91.189.91.83","192.168.1.169","HTTP","188","HTTP/1.1 200 OK  (application/vnd.debian.binary-package)"
